subject,faculty_code,semester,course,division,batch,academic_year
Deep Learning Lab,AMS,6,AIDS,A,A1,2025-26
Deep Learning Lab,AMS,6,AIDS,A,A2,2025-26
Deep Learning Lab,SPP,6,AIDS,A,A3,2025-26
Deep Learning Theory,AMS,6,AIDS,A,,2025-26
Big Data Analytics Lab,P_N,6,AIDS,A,A1,2025-26
Big Data Analytics Lab,PPM,6,AIDS,A,A2,2025-26
Big Data Analytics Lab,D_D,6,AIDS,A,B3,2025-26
Big Data Analytics Theory,PPM,6,AIDS,A,,2025-26
Data Analytics Lab,IT2,6,AIDS,A,A1,2025-26
Data Analytics Lab,SSR,6,AIDS,A,A2,2025-26
Data Analytics Lab,IT2,6,AIDS,A,A3,2025-26
Data Warehousing and Mining Theory,SBW,6,AIDS,A,,2025-26
Web Analitics Lab,SBL,6,AIDS,A,A1,2025-26
Web Analitics Lab,SBL,6,AIDS,A,A2,2025-26
Web Analitics Lab,SBL,6,AIDS,A,A3,2025-26
Web Analitics Theory,SBL,6,AIDS,A,,2025-26
