name,email,semester,division,batch
Test Student 0001,test.student0001@somaiya.edu,5,B,B2
Test Student 0002,test.student0002@somaiya.edu,5,B,B1
Test Student 0003,test.student0003@somaiya.edu,5,B,B2
Test Student 0004,test.student0004@somaiya.edu,5,B,B1
Test Student 0005,test.student0005@somaiya.edu,5,B,B2
Test Student 0006,test.student0006@somaiya.edu,5,B,B1
Test Student 0007,test.student0007@somaiya.edu,5,B,B2
Test Student 0008,test.student0008@somaiya.edu,5,B,B1
Test Student 0009,test.student0009@somaiya.edu,5,B,B2
Test Student 0010,test.student0010@somaiya.edu,5,B,B1
Test Student 0011,test.student0011@somaiya.edu,5,B,B2
Test Student 0012,test.student0012@somaiya.edu,5,B,B1
Test Student 0013,test.student0013@somaiya.edu,5,B,B2
Test Student 0014,test.student0014@somaiya.edu,5,B,B1
Test Student 0015,test.student0015@somaiya.edu,5,B,B2
Test Student 0016,test.student0016@somaiya.edu,5,B,B1
Test Student 0017,test.student0017@somaiya.edu,5,B,B2
Test Student 0018,test.student0018@somaiya.edu,5,B,B1
Test Student 0019,test.student0019@somaiya.edu,5,B,B2
Test Student 0020,test.student0020@somaiya.edu,5,B,B1
Test Student 0021,test.student0021@somaiya.edu,5,B,B2
Test Student 0022,test.student0022@somaiya.edu,5,B,B1
Test Student 0023,test.student0023@somaiya.edu,5,B,B2
Test Student 0024,test.student0024@somaiya.edu,5,B,B1
Test Student 0025,test.student0025@somaiya.edu,5,B,B2
Test Student 0026,test.student0026@somaiya.edu,5,B,B1
Test Student 0027,test.student0027@somaiya.edu,5,B,B2
Test Student 0028,test.student0028@somaiya.edu,5,B,B1
Test Student 0029,test.student0029@somaiya.edu,5,B,B2
Test Student 0030,test.student0030@somaiya.edu,5,B,B1
Test Student 0031,test.student0031@somaiya.edu,5,B,B2
Test Student 0032,test.student0032@somaiya.edu,5,B,B1
Test Student 0033,test.student0033@somaiya.edu,5,B,B2
Test Student 0034,test.student0034@somaiya.edu,5,B,B1
Test Student 0035,test.student0035@somaiya.edu,5,B,B2
Test Student 0036,test.student0036@somaiya.edu,5,B,B1
Test Student 0037,test.student0037@somaiya.edu,5,B,B2
Test Student 0038,test.student0038@somaiya.edu,5,B,B1
Test Student 0039,test.student0039@somaiya.edu,5,B,B2
Test Student 0040,test.student0040@somaiya.edu,5,B,B1
Test Student 0041,test.student0041@somaiya.edu,5,B,B2
Test Student 0042,test.student0042@somaiya.edu,5,B,B1
Test Student 0043,test.student0043@somaiya.edu,5,B,B2
Test Student 0044,test.student0044@somaiya.edu,5,B,B1
Test Student 0045,test.student0045@somaiya.edu,5,B,B2
Test Student 0046,test.student0046@somaiya.edu,5,B,B1
Test Student 0047,test.student0047@somaiya.edu,5,B,B2
Test Student 0048,test.student0048@somaiya.edu,5,B,B1
Test Student 0049,test.student0049@somaiya.edu,5,B,B2
Test Student 0050,test.student0050@somaiya.edu,5,B,B1
Test Student 0051,test.student0051@somaiya.edu,5,B,B2
Test Student 0052,test.student0052@somaiya.edu,5,B,B1
Test Student 0053,test.student0053@somaiya.edu,5,B,B2
Test Student 0054,test.student0054@somaiya.edu,5,B,B1
Test Student 0055,test.student0055@somaiya.edu,5,B,B2
Test Student 0056,test.student0056@somaiya.edu,5,B,B1
